qid	label	description	description_lang	instance_qids	instance_labels	inception	dissolved	active_span	active_centuries	has_coord	coord	has_geoshape	geoshape	wikipedia_url	wikipedia_lang	cliopatria_match	cliopatria_name	cliopatria_n_periods	cliopatria_match_via
Q114	Kenya	country in Eastern Africa	en	Q3624078|Q6256	country|sovereign state	1963-01-01T00:00:00Z		(1963-?)	20th	True	Point(38.0 0.1)	True	http://commons.wikimedia.org/data/main/Data:Kenya.map	https://en.wikipedia.org/wiki/Kenya	en	True	Republic of Kenya	2	wikidata
Q115	Ethiopia	country in the Horn of Africa	en	Q123480|Q3624078|Q6256	country|landlocked country|sovereign state	1995-08-21T00:00:00Z		(1995-?)	20th	True	Point(40.0 9.0)	True	http://commons.wikimedia.org/data/main/Data:Ethiopia.map	https://en.wikipedia.org/wiki/Ethiopia	en	True	Ethiopia	7	wikidata
Q117	Ghana	country in West Africa	en	Q3624078|Q6256	country|sovereign state	1957-01-01T00:00:00Z		(1957-?)	20th	True	Point(-1.0232 7.9465)	True	http://commons.wikimedia.org/data/main/Data:Ghana.map	https://en.wikipedia.org/wiki/Ghana	en	True	Ghana	4	wikidata
Q142	France	country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)	en	Q3624078|Q6256|Q7270	country|republic|sovereign state	0481-01-01T00:00:00Z|0843-08-01T00:00:00Z|1804-05-18T00:00:00Z		(481-?)	5th	True	Point(2.0 47.0)	True	http://commons.wikimedia.org/data/main/Data:France.map	https://en.wikipedia.org/wiki/France	en	False			
Q145	United Kingdom	island country in north-west Europe	en	Q112099|Q20181813|Q3624078|Q6256	colonial power|country|island country|sovereign state	1927-04-12T00:00:00Z		(1927-?)	20th	True	Point(-2.0 54.6)	True	http://commons.wikimedia.org/data/main/Data:United+Kingdom.map	https://en.wikipedia.org/wiki/United_Kingdom	en	False			
Q148	People's Republic of China	country in East Asia	en	Q3624078|Q6256	country|sovereign state	1949-10-01T00:00:00Z		(1949-?)	20th	True	Point(103.451944444 35.844722222)	True	http://commons.wikimedia.org/data/main/Data:China.map	https://en.wikipedia.org/wiki/China	en	True	People's Republic of China|Republic of China	27	wikidata
Q15	Africa	continent	en	Q2221906|Q5107|Q82794	continent|geographic location|region					True	Point(15.0 0.0)	True	http://commons.wikimedia.org/data/main/Data:Africa+Flickr.map	https://en.wikipedia.org/wiki/Africa	en	False			
Q155	Brazil	country in South America	en	Q3624078|Q6256|Q859563	country|secular state|sovereign state	1822-09-07T00:00:00Z		(1822-?)	19th	True	Point(-53.0 -14.0)	True	http://commons.wikimedia.org/data/main/Data:Brazil.map	https://en.wikipedia.org/wiki/Brazil	en	True	Brazilian Republic|Federated Republic of Brazil|Republic of Brazil|Unitary State of Brazil	12	wikidata
Q159	Russia	country in Eastern Europe and Northern Asia, the largest in the world by area	en	Q127693126|Q1323642|Q3624078|Q6256|Q859563	country|secular state|sovereign state|successor state|transcontinental country	1263-01-01T00:00:00Z		(1263-?)	13th	True	Point(94.25 66.416666666)	True	http://commons.wikimedia.org/data/main/Data:Russia.map	https://en.wikipedia.org/wiki/Russia	en	True	(Russian Federation)|Russian Federation	12	wikidata
Q16	Canada	country in North America	en	Q3624078|Q6256	country|sovereign state	1867-07-01T00:00:00Z		(1867-?)	19th	True	Point(-109.0 56.0)	True	http://commons.wikimedia.org/data/main/Data:Canada.map	https://en.wikipedia.org/wiki/Canada	en	True	Canada	5	wikidata
